id,Umsatz
1201011,
1201012,
1201013,
1201014,
1201015,
1201016,
1201021,
1201022,
1201023,
1201024,
1201025,
1201026,
1201031,
1201032,
1201033,
1201034,
1201035,
1201036,
1201041,
1201042,
1201043,
1201044,
1201045,
1201046,
1201051,
1201052,
1201053,
1201054,
1201055,
1201056,
1201061,
1201062,
1201063,
1201064,
1201065,
1201066,
1201071,
1201072,
1201073,
1201074,
1201075,
1201076,
1201081,
1201082,
1201083,
1201084,
1201085,
1201086,
1201091,
1201092,
1201093,
1201094,
1201095,
1201096,
1201101,
1201102,
1201103,
1201104,
1201105,
1201106,
1201111,
1201112,
1201113,
1201114,
1201115,
1201116,
1201121,
1201122,
1201123,
1201124,
1201125,
1201126,
1201131,
1201132,
1201133,
1201134,
1201135,
1201136,
1201141,
1201142,
1201143,
1201144,
1201145,
1201146,
1201151,
1201152,
1201153,
1201154,
1201155,
1201156,
1201161,
1201162,
1201163,
1201164,
1201165,
1201166,
1201171,
1201172,
1201173,
1201174,
1201175,
1201176,
1201181,
1201182,
1201183,
1201184,
1201185,
1201186,
1201191,
1201192,
1201193,
1201194,
1201195,
1201196,
1201201,
1201202,
1201203,
1201204,
1201205,
1201206,
1201211,
1201212,
1201213,
1201214,
1201215,
1201216,
1201221,
1201222,
1201223,
1201224,
1201225,
1201226,
1201231,
1201232,
1201233,
1201234,
1201235,
1201236,
1201241,
1201242,
1201243,
1201244,
1201245,
1201246,
1201251,
1201252,
1201253,
1201254,
1201255,
1201256,
1201261,
1201262,
1201263,
1201264,
1201265,
1201266,
1201271,
1201272,
1201273,
1201274,
1201275,
1201276,
1201281,
1201282,
1201283,
1201284,
1201285,
1201286,
1201291,
1201292,
1201293,
1201294,
1201295,
1201296,
1201301,
1201302,
1201303,
1201304,
1201305,
1201306,
1201311,
1201312,
1201313,
1201314,
1201315,
1201316,
1202011,
1202012,
1202013,
1202014,
1202015,
1202016,
1202021,
1202022,
1202023,
1202024,
1202025,
1202026,
1202031,
1202032,
1202033,
1202034,
1202035,
1202036,
1202041,
1202042,
1202043,
1202044,
1202045,
1202046,
1202051,
1202052,
1202053,
1202054,
1202055,
1202056,
1202061,
1202062,
1202063,
1202064,
1202065,
1202066,
1202071,
1202072,
1202073,
1202074,
1202075,
1202076,
1202081,
1202082,
1202083,
1202084,
1202085,
1202086,
1202091,
1202092,
1202093,
1202094,
1202095,
1202096,
1202101,
1202102,
1202103,
1202104,
1202105,
1202106,
1202111,
1202112,
1202113,
1202114,
1202115,
1202116,
1202121,
1202122,
1202123,
1202124,
1202125,
1202126,
1202131,
1202132,
1202133,
1202134,
1202135,
1202136,
1202141,
1202142,
1202143,
1202144,
1202145,
1202146,
1202151,
1202152,
1202153,
1202154,
1202155,
1202156,
1202161,
1202162,
1202163,
1202164,
1202165,
1202166,
1202171,
1202172,
1202173,
1202174,
1202175,
1202176,
1202181,
1202182,
1202183,
1202184,
1202185,
1202186,
1202191,
1202192,
1202193,
1202194,
1202195,
1202196,
1202201,
1202202,
1202203,
1202204,
1202205,
1202206,
1202211,
1202212,
1202213,
1202214,
1202215,
1202216,
1202221,
1202222,
1202223,
1202224,
1202225,
1202226,
1202231,
1202232,
1202233,
1202234,
1202235,
1202236,
1202241,
1202242,
1202243,
1202244,
1202245,
1202246,
1202251,
1202252,
1202253,
1202254,
1202255,
1202256,
1202261,
1202262,
1202263,
1202264,
1202265,
1202266,
1202271,
1202272,
1202273,
1202274,
1202275,
1202276,
1202281,
1202282,
1202283,
1202284,
1202285,
1202286,
1202291,
1202292,
1202293,
1202294,
1202295,
1202296,
1203011,
1203012,
1203013,
1203014,
1203015,
1203016,
1203021,
1203022,
1203023,
1203024,
1203025,
1203026,
1203031,
1203032,
1203033,
1203034,
1203035,
1203036,
1203041,
1203042,
1203043,
1203044,
1203045,
1203046,
1203051,
1203052,
1203053,
1203054,
1203055,
1203056,
1203061,
1203062,
1203063,
1203064,
1203065,
1203066,
1203071,
1203072,
1203073,
1203074,
1203075,
1203076,
1203081,
1203082,
1203083,
1203084,
1203085,
1203086,
1203091,
1203092,
1203093,
1203094,
1203095,
1203096,
1203101,
1203102,
1203103,
1203104,
1203105,
1203106,
1203111,
1203112,
1203113,
1203114,
1203115,
1203116,
1203121,
1203122,
1203123,
1203124,
1203125,
1203126,
1203131,
1203132,
1203133,
1203134,
1203135,
1203136,
1203141,
1203142,
1203143,
1203144,
1203145,
1203146,
1203151,
1203152,
1203153,
1203154,
1203155,
1203156,
1203161,
1203162,
1203163,
1203164,
1203165,
1203166,
1203171,
1203172,
1203173,
1203174,
1203175,
1203176,
1203181,
1203182,
1203183,
1203184,
1203185,
1203186,
1203191,
1203192,
1203193,
1203194,
1203195,
1203196,
1203201,
1203202,
1203203,
1203204,
1203205,
1203206,
1203211,
1203212,
1203213,
1203214,
1203215,
1203216,
1203221,
1203222,
1203223,
1203224,
1203225,
1203226,
1203231,
1203232,
1203233,
1203234,
1203235,
1203236,
1203241,
1203242,
1203243,
1203244,
1203245,
1203246,
1203251,
1203252,
1203253,
1203254,
1203255,
1203256,
1203261,
1203262,
1203263,
1203264,
1203265,
1203266,
1203271,
1203272,
1203273,
1203274,
1203275,
1203276,
1203281,
1203282,
1203283,
1203284,
1203285,
1203286,
1203291,
1203292,
1203293,
1203294,
1203295,
1203296,
1203301,
1203302,
1203303,
1203304,
1203305,
1203306,
1203311,
1203312,
1203313,
1203314,
1203315,
1203316,
1204011,
1204012,
1204013,
1204014,
1204015,
1204016,
1204021,
1204022,
1204023,
1204024,
1204025,
1204026,
1204031,
1204032,
1204033,
1204034,
1204035,
1204036,
1204041,
1204042,
1204043,
1204044,
1204045,
1204046,
1204051,
1204052,
1204053,
1204054,
1204055,
1204056,
1204061,
1204062,
1204063,
1204064,
1204065,
1204066,
1204071,
1204072,
1204073,
1204074,
1204075,
1204076,
1204081,
1204082,
1204083,
1204084,
1204085,
1204086,
1204091,
1204092,
1204093,
1204094,
1204095,
1204096,
1204101,
1204102,
1204103,
1204104,
1204105,
1204106,
1204111,
1204112,
1204113,
1204114,
1204115,
1204116,
1204121,
1204122,
1204123,
1204124,
1204125,
1204126,
1204131,
1204132,
1204133,
1204134,
1204135,
1204136,
1204141,
1204142,
1204143,
1204144,
1204145,
1204146,
1204151,
1204152,
1204153,
1204154,
