"Datum","VPI"
2013-01-01,91.6
2013-01-02,91.6
2013-01-03,91.6
2013-01-04,91.6
2013-01-05,91.6
2013-01-06,91.6
2013-01-07,91.6
2013-01-08,91.6
2013-01-09,91.6
2013-01-10,91.6
2013-01-11,91.6
2013-01-12,91.6
2013-01-13,91.6
2013-01-14,91.6
2013-01-15,91.6
2013-01-16,91.6
2013-01-17,91.6
2013-01-18,91.6
2013-01-19,91.6
2013-01-20,91.6
2013-01-21,91.6
2013-01-22,91.6
2013-01-23,91.6
2013-01-24,91.6
2013-01-25,91.6
2013-01-26,91.6
2013-01-27,91.6
2013-01-28,91.6
2013-01-29,91.6
2013-01-30,91.6
2013-01-31,91.6
2013-02-01,91.9
2013-02-02,91.9
2013-02-03,91.9
2013-02-04,91.9
2013-02-05,91.9
2013-02-06,91.9
2013-02-07,91.9
2013-02-08,91.9
2013-02-09,91.9
2013-02-10,91.9
2013-02-11,91.9
2013-02-12,91.9
2013-02-13,91.9
2013-02-14,91.9
2013-02-15,91.9
2013-02-16,91.9
2013-02-17,91.9
2013-02-18,91.9
2013-02-19,91.9
2013-02-20,91.9
2013-02-21,91.9
2013-02-22,91.9
2013-02-23,91.9
2013-02-24,91.9
2013-02-25,91.9
2013-02-26,91.9
2013-02-27,91.9
2013-02-28,91.9
2013-03-01,92
2013-03-02,92
2013-03-03,92
2013-03-04,92
2013-03-05,92
2013-03-06,92
2013-03-07,92
2013-03-08,92
2013-03-09,92
2013-03-10,92
2013-03-11,92
2013-03-12,92
2013-03-13,92
2013-03-14,92
2013-03-15,92
2013-03-16,92
2013-03-17,92
2013-03-18,92
2013-03-19,92
2013-03-20,92
2013-03-21,92
2013-03-22,92
2013-03-23,92
2013-03-24,92
2013-03-25,92
2013-03-26,92
2013-03-27,92
2013-03-28,92
2013-03-29,92
2013-03-30,92
2013-03-31,92
2013-04-01,92.1
2013-04-02,92.1
2013-04-03,92.1
2013-04-04,92.1
2013-04-05,92.1
2013-04-06,92.1
2013-04-07,92.1
2013-04-08,92.1
2013-04-09,92.1
2013-04-10,92.1
2013-04-11,92.1
2013-04-12,92.1
2013-04-13,92.1
2013-04-14,92.1
2013-04-15,92.1
2013-04-16,92.1
2013-04-17,92.1
2013-04-18,92.1
2013-04-19,92.1
2013-04-20,92.1
2013-04-21,92.1
2013-04-22,92.1
2013-04-23,92.1
2013-04-24,92.1
2013-04-25,92.1
2013-04-26,92.1
2013-04-27,92.1
2013-04-28,92.1
2013-04-29,92.1
2013-04-30,92.1
2013-05-01,92.3
2013-05-02,92.3
2013-05-03,92.3
2013-05-04,92.3
2013-05-05,92.3
2013-05-06,92.3
2013-05-07,92.3
2013-05-08,92.3
2013-05-09,92.3
2013-05-10,92.3
2013-05-11,92.3
2013-05-12,92.3
2013-05-13,92.3
2013-05-14,92.3
2013-05-15,92.3
2013-05-16,92.3
2013-05-17,92.3
2013-05-18,92.3
2013-05-19,92.3
2013-05-20,92.3
2013-05-21,92.3
2013-05-22,92.3
2013-05-23,92.3
2013-05-24,92.3
2013-05-25,92.3
2013-05-26,92.3
2013-05-27,92.3
2013-05-28,92.3
2013-05-29,92.3
2013-05-30,92.3
2013-05-31,92.3
2013-06-01,92.3
2013-06-02,92.3
2013-06-03,92.3
2013-06-04,92.3
2013-06-05,92.3
2013-06-06,92.3
